id,slug,name,normalized_name,description,dish_family_id,primary_category_id,primary_cuisine_id,wikidata_qid,wikipedia_title,dbpedia_uri,origin_text,is_notable,created_at,updated_at
dish-wd-q9601457,aletria,aletria,aletria,Canonical starter dish entry for aletria. Origin: Portugal. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q9601457,,cui-wd-q180817,Q9601457,Aletria,,Portugal,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q96371762,aligue-fried-rice,Aligue fried rice,aligue fried rice,Canonical starter dish entry for Aligue fried rice. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q96371762,cat-rice-dishes-e5a0eea5,,Q96371762,Aligue fried rice,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q127433632,alivongvong,Alivongvong,alivongvong,Canonical starter dish entry for Alivongvong. Associated cuisine: Taiwanese cuisine. Origin: Taiwan Island. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q127433632,,,Q127433632,Alivongvong,,Taiwan Island,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q118901115,almond-chicken,almond chicken,almond chicken,Canonical starter dish entry for almond chicken. Associated cuisine: American Chinese cuisine. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q118901115,,,Q118901115,Almond chicken,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q254807,alplermagronen,Älplermagronen,alplermagronen,Canonical starter dish entry for Älplermagronen. Associated cuisine: Swiss cuisine. Origin: Switzerland. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q254807,,,Q254807,Älplermagronen,,Switzerland,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4737104,alu-potala-rasa,Alu Potala Rasa,alu potala rasa,Canonical starter dish entry for Alu Potala Rasa. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4737104,,cui-wd-q192087,Q4737104,Alu Potala Rasa,,India,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q133284186,aluek-trei-ngeat,Aluek trei ngeat,aluek trei ngeat,Canonical starter dish entry for Aluek trei ngeat. Origin: Cambodia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q133284186,,cui-wd-q139430,Q133284186,Aluek trei ngeat,,Cambodia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4739207,amala,Amala,amala,Canonical starter dish entry for Amala. Associated cuisine: Yoruba cuisine. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4739207,,cui-wd-q7033037,Q4739207,Amala (food),,Nigeria,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q997633,amatriciana-sauce,amatriciana sauce,amatriciana sauce,Canonical starter dish entry for amatriciana sauce. Origin: Italy. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q997633,cat-sauces-and-condiments-10f97308,cui-wd-q192786,Q997633,Amatriciana sauce,,Italy,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q9611817,ameijoas-a-bulhao-pato,Amêijoas à Bulhão Pato,ameijoas a bulhao pato,Canonical starter dish entry for Amêijoas à Bulhão Pato. Associated cuisine: Portuguese cuisine. Origin: Portugal. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q9611817,,cui-wd-q180817,Q9611817,Amêijoas à Bulhão Pato,,Portugal,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q30890348,amich,Amich,amich,Canonical starter dish entry for Amich. Origin: Armenia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q30890348,,cui-wd-q684343,Q30890348,Amich,,Armenia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q107489664,amiwo,Amiwô,amiwo,Canonical starter dish entry for Amiwô. Origin: Benin. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q107489664,,,Q107489664,Amiwo,,Benin,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q2286933,amsterdam-ossenworst,Amsterdam ossenworst,amsterdam ossenworst,Canonical starter dish entry for Amsterdam ossenworst. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q2286933,,,Q2286933,Ossenworst,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q481774,amuse-bouche,amuse-bouche,amuse bouche,Canonical starter dish entry for amuse-bouche. Origin: France. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q481774,,cui-wd-q6661,Q481774,Amuse-bouche,,France,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4754282,andes-chocolate-mints,Andes Chocolate Mints,andes chocolate mints,Canonical starter dish entry for Andes Chocolate Mints. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4754282,cat-confections-and-sweets-33dd665f,,Q4754282,Andes chocolate mints,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q2849577,angels-on-horseback,angels on horseback,angels on horseback,Canonical starter dish entry for angels on horseback. Associated cuisine: English cuisine. Origin: England. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q2849577,,,Q2849577,Angels on horseback,,England,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q16301690,angus-burger,Angus burger,angus burger,Canonical starter dish entry for Angus burger. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q16301690,cat-burgers-09c6dfae,,Q16301690,Angus burger,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q137690873,anishi,Anishi,anishi,Canonical starter dish entry for Anishi. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q137690873,,,Q137690873,Anishi,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q6821745,ansungtangmyun,Ansungtangmyun,ansungtangmyun,Canonical starter dish entry for Ansungtangmyun. Origin: South Korea. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q6821745,,cui-wd-q647500,Q6821745,Ansungtangmyun,,South Korea,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q864174,ants-climbing-a-tree,ants climbing a tree,ants climbing a tree,Canonical starter dish entry for ants climbing a tree. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q864174,cat-noodle-dishes-f57723d0,,Q864174,Ants climbing a tree,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q25064159,apfelkuchle,Apfelküchle,apfelkuchle,Canonical starter dish entry for Apfelküchle. Origin: Germany. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q25064159,,cui-wd-q47629,Q25064159,Apfelküchle,,Germany,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q85742197,apio,Apio,apio,Canonical starter dish entry for Apio. Associated cuisine: Sephardic Jewish cuisine. Origin: Balkans. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q85742197,,,Q85742197,Apio (appetizer),,Balkans,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q24839104,apple-bread,Apple Bread,apple bread,Canonical starter dish entry for Apple Bread. Associated cuisine: Taiwanese cuisine. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q24839104,cat-breads-and-loaves-c2814f9c,,Q24839104,Apple bread,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q111913468,apple-crumble,apple crumble,apple crumble,Canonical starter dish entry for apple crumble. Origin: United Kingdom. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q111913468,,cui-wd-q918277,Q111913468,Apple crumble,,United Kingdom,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4782215,apteekin-salmiakki,Apteekin salmiakki,apteekin salmiakki,Canonical starter dish entry for Apteekin salmiakki. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4782215,,,Q4782215,Apteekin Salmiakki,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q123256158,areias,Areias,areias,Canonical starter dish entry for Areias. Origin: Portugal. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q123256158,,cui-wd-q180817,Q123256158,Areias (Portuguese food),,Portugal,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q11113287,arem-arem,Arem-Arem,arem arem,Canonical starter dish entry for Arem-Arem. Associated cuisine: Indonesian cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q11113287,,cui-wd-q787497,Q11113287,Arem-arem,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q642702,arepa,arepa,arepa,Canonical starter dish entry for arepa. Associated cuisine: Colombian cuisine. Origin: Colombia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q642702,,cui-wd-q909057,Q642702,Arepa,,Colombia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q135319281,arganak,Arganak,arganak,Canonical starter dish entry for Arganak. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q135319281,,,Q135319281,Arganak,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q12808559,arnavut-cigeri,Arnavut ciğeri,arnavut cigeri,Canonical starter dish entry for Arnavut ciğeri. Origin: Turkey. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q12808559,,cui-wd-q654493,Q12808559,Arnavut ciğeri,,Turkey,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q100258740,arook,Arook,arook,Canonical starter dish entry for Arook. Origin: Iraq. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q100258740,,cui-wd-q1036498,Q100258740,Arook,,Iraq,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q3462362,arros-a-banda,Arròs a banda,arros a banda,Canonical starter dish entry for Arròs a banda. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q3462362,,,Q3462362,Arròs a banda,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q703832,arroz-de-marisco,arroz de marisco,arroz de marisco,Canonical starter dish entry for arroz de marisco. Associated cuisine: Portuguese cuisine. Origin: Portugal. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q703832,,cui-wd-q180817,Q703832,Arroz de marisco,,Portugal,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q19872588,arroz-negro,Arroz negro,arroz negro,Canonical starter dish entry for Arroz negro. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q19872588,,,Q19872588,Arroz negro (Mexican cuisine),,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4796545,arsik,Arsik,arsik,Canonical starter dish entry for Arsik. Associated cuisine: Indonesian cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4796545,,cui-wd-q787497,Q4796545,Arsik,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q720254,asado,asado,asado,Canonical starter dish entry for asado. Associated cuisine: Argentine cuisine. Origin: Argentina. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q720254,,cui-wd-q579500,Q720254,Asado,,Argentina,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4803469,asam-pedas,asam pedas,asam pedas,Canonical starter dish entry for asam pedas. Associated cuisine: Indonesian cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4803469,,cui-wd-q787497,Q4803469,Asam pedas,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q122999857,asaro,Asaro,asaro,Canonical starter dish entry for Asaro. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q122999857,,cui-wd-q7033037,Q122999857,Asaro (food),,Nigeria,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q137217603,ashoka-halwa,Ashoka Halwa,ashoka halwa,Canonical starter dish entry for Ashoka Halwa. Associated cuisine: Tamil cuisine. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q137217603,,cui-wd-q192087,Q137217603,Ashoka Halwa,,India,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q2984652,asida,Asida,asida,Canonical starter dish entry for Asida. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q2984652,,,Q2984652,Asida,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q837480,aspic,aspic,aspic,Canonical starter dish entry for aspic. Associated cuisine: Belarusian cuisine. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q837480,,,Q837480,Aspic,,,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q136922,asure,aşure,asure,Canonical starter dish entry for aşure. Origin: ancient Near East. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q136922,,,Q136922,Ashure,,ancient Near East,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q30592390,atama-soup,Atama soup,atama soup,Canonical starter dish entry for Atama soup. Origin: Nigeria. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q30592390,cat-soups-58c2caa7,cui-wd-q7033037,Q30592390,Atama soup,,Nigeria,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q951525,avial,Avial,avial,Canonical starter dish entry for Avial. Origin: India. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q951525,,cui-wd-q192087,Q951525,Avial,,India,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q16836245,ayam-goreng,Ayam goreng,ayam goreng,Canonical starter dish entry for Ayam goreng. Associated cuisine: Indonesian cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q16836245,,cui-wd-q787497,Q16836245,Ayam goreng,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q17998502,ayam-goreng-kalasan,ayam goreng Kalasan,ayam goreng kalasan,Canonical starter dish entry for ayam goreng Kalasan. Associated cuisine: Indonesian cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q17998502,,cui-wd-q787497,Q17998502,Ayam goreng kalasan,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q85744456,ayam-kodok,Ayam kodok,ayam kodok,Canonical starter dish entry for Ayam kodok. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q85744456,,cui-wd-q787497,Q85744456,Ayam kodok,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q28163731,ayam-masak-kicap,Ayam masak kicap,ayam masak kicap,Canonical starter dish entry for Ayam masak kicap. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q28163731,,cui-wd-q787497,Q28163731,Ayam kecap,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q65210405,ayam-panggang,Ayam panggang,ayam panggang,Canonical starter dish entry for Ayam panggang. Associated cuisine: Indonesian cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q65210405,,cui-wd-q787497,Q65210405,Ayam panggang,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q7309235,ayam-pansuh,Ayam pansuh,ayam pansuh,Canonical starter dish entry for Ayam pansuh. Origin: Malaysia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q7309235,,cui-wd-q772247,Q7309235,Ayam pansuh,,Malaysia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q2428787,ayam-taliwang,ayam Taliwang,ayam taliwang,Canonical starter dish entry for ayam Taliwang. Associated cuisine: Indonesian cuisine. Origin: Indonesia. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q2428787,,cui-wd-q787497,Q2428787,Ayam Taliwang,,Indonesia,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q192892,ayran,ayran,ayran,Canonical starter dish entry for ayran. Associated cuisine: Balkan cuisine. Origin: Iran. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q192892,,cui-wd-q9943666,Q192892,Ayran,,Iran,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q4833788,b-c-roll,B.C. roll,b c roll,Canonical starter dish entry for B.C. roll. Origin: Canada. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q4833788,cat-wraps-and-rolls-dd6f3471,cui-wd-q1324207,Q4833788,B.C. roll,,Canada,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q17032101,baba,Baba,baba,Canonical starter dish entry for Baba. Origin: Yunnan. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q17032101,,,Q17032101,Baba (bread),,Yunnan,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
dish-wd-q84564532,baba-de-camelo,Baba de camelo,baba de camelo,Canonical starter dish entry for Baba de camelo. Origin: Portugal. Seeded from Wikidata with an English Wikipedia sitelink.,fam-wd-q84564532,,cui-wd-q180817,Q84564532,Baba de camelo,,Portugal,true,2026-04-16T19:12:47+00:00,2026-04-16T19:12:47+00:00
